,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar Cell,m-si,p-si,t-si,GaAs,ClGS,CdTe,a-Si,DSSC,Org,,,,,,,,,,,,,,
,,100,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,200,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,300,0,3%,58%,7%,13%,0,0,4%,10%,,,,,,,,,,,,,,
,,400,82%,68%,72%,80%,78%,79%,60%,60%,55%,,,,,,,,,,,,,,
,,500,84%,88%,74%,93%,91%,91%,92%,80%,60%,,,,,,,,,,,,,,
,,600,95%,90%,94%,100%,94%,95%,90%,80%,65%,,,,,,,,,,,,,,
,,700,96%,91%,94%,94%,95%,98%,57%,75%,8%,,,,,,,,,,,,,,
,,800,100%,90%,93%,93%,95%,88%,0%,48%,0%,,,,,,,,,,,,,,
,,900,99%,89%,86%,0%,93%,0%,0%,2%,0%,,,,,,,,,,,,,,
,,1000,96%,83%,31%,0%,28%,0%,0%,0%,0%,,,,,,,,,,,,,,
,,1100,74%,57%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,
,,1200,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,
,,1300,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
