,,,,,,,,,,,,,,,,,,,,,,,,,
,,Solar Cell,m-si,,,,,,,,,,,,,,,,,,,,,,
,,100,0,,,,,,,,,,,,,,,,,,,,,,
,,200,0,,,,,,,,,,,,,,,,,,,,,,
,,300,0,,,,,,,,,,,,,,,,,,,,,,
,,400,82%,,,,,,,,,,,,,,,,,,,,,,
,,500,84%,,,,,,,,,,,,,,,,,,,,,,
,,600,95%,,,,,,,,,,,,,,,,,,,,,,
,,700,96%,,,,,,,,,,,,,,,,,,,,,,
,,800,100%,,,,,,,,,,,,,,,,,,,,,,
,,900,99%,,,,,,,,,,,,,,,,,,,,,,
,,1000,96%,,,,,,,,,,,,,,,,,,,,,,
,,1100,74%,,,,,,,,,,,,,,,,,,,,,,
,,1200,0%,,,,,,,,,,,,,,,,,,,,,,
,,1300,0%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
