,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,EQE values for each wavelength,,,,,,,,,,,,,,,,,
Solar Cell,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,,,,,,,,,,,,
m-si,0,0,0,82%,84%,95%,96%,100%,99%,96%,74%,0%,0%,,,,,,,,,,,,
p-si,0,0,3%,68%,88%,90%,91%,90%,89%,83%,57%,0%,0%,,,,,,,,,,,,
t-si,0,0,58%,72%,74%,94%,94%,93%,86%,31%,0%,0%,0%,,,,,,,,,,,,
GaAs,0,0,7%,80%,93%,100%,94%,93%,0%,0%,0%,0%,0%,,,,,,,,,,,,
ClGS,0,0,13%,78%,91%,94%,95%,95%,93%,28%,0%,0%,0%,,,,,,,,,,,,
CdTe,0,0,0,79%,91%,95%,98%,88%,0%,0%,0%,0%,0%,,,,,,,,,,,,
a-Si,0,0,0,60%,92%,90%,57%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,
DSSC,0,0,4%,60%,80%,80%,75%,48%,2%,0%,0%,0%,0%,,,,,,,,,,,,
Org,0,0,10%,55%,60%,65%,8%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
