wavelength nm,irradiance W/m^2/nm
339.619,0
340,0
340.381,0
340.762,0
341.143,0
341.524,0
341.904,0
342.285,0
342.666,0
343.046,0
343.427,0
343.807,0
344.188,0
344.568,0
344.949,0
345.329,-1.825864398
345.71,-1.993432851
346.09,-2.256652269
346.47,0.7438727534
346.85,0.0656647634
347.23,0.1399426605
347.611,0.0902572066
347.991,0.0902686807
348.371,0.0651791733
348.751,0.0400443224
349.131,0.0506433623
349.511,0.0614185439
349.891,0.0574219304
350.27,0.0487242572
350.65,0.0439376189
351.03,0.0473524088
351.41,0.059306007
351.79,0.0514554452
352.169,0.0476229752
352.549,0.0559334665
352.928,0.0545301222
353.308,0.053490108
353.687,0.0552219075
354.067,0.0503350675
354.446,0.0534264947
354.826,0.0493960112
355.205,0.0389799774
355.584,0.0546703129
355.964,0.0514291329
356.343,0.0425020812
356.722,0.0548451669
357.101,0.0481280489
357.48,0.0337693205
357.859,0.0428003483
358.238,0.039802992
358.617,0.0424632412
358.996,0.0478388894
359.375,0.0372204793
359.754,0.0402806565
360.133,0.0324254047
360.512,0.0395261191
360.891,0.0463401067
361.269,0.0478784657
361.648,0.0381031471
362.027,0.0354613866
362.405,0.0409180727
362.784,0.0406234622
363.162,0.0309956895
363.541,0.0367361306
363.919,0.0363463632
364.298,0.0423232968
364.676,0.0390981346
365.054,0.042387531
365.433,0.0355642404
365.811,0.0319958299
366.189,0.0308091021
366.567,0.0390723356
366.945,0.0403628996
367.323,0.0242134478
367.701,0.0250286958
368.079,0.0329264134
368.457,0.032785482
368.835,0.0286572734
369.213,0.0317958671
369.591,0.0312388046
369.969,0.0384050544
370.346,0.0267673024
370.724,0.0301543595
371.102,0.0322810481
371.479,0.0353552619
371.857,0.0342589828
372.235,0.0370897201
372.612,0.0254155522
372.99,0.0288227996
373.367,0.0293272981
373.744,0.0273129103
374.122,0.0323163612
374.499,0.0336849895
374.876,0.0297677196
375.254,0.035402823
375.631,0.0311298385
376.008,0.0310343582
376.385,0.0272771434
