wavelength nm,irradiance W/m^2/nm
339.619,0
340,0
340.381,0
340.762,0
341.143,0
341.524,0
341.904,0
342.285,0
342.666,0
343.046,0
343.427,0
343.807,0
344.188,0
344.568,0
344.949,0
345.329,-0.768494382
345.71,-1.208236968
346.09,-0.95216823
346.47,0.6658734288
346.85,0.2674001917
347.23,0.0814740045
347.611,0.0770750283
347.991,0.0747857752
348.371,0.0554418884
348.751,0.04957545
349.131,0.0686360041
349.511,0.0673637492
349.891,0.0545423246
350.27,0.0435776571
350.65,0.0403628268
351.03,0.0442373045
351.41,0.0527441009
351.79,0.046869651
352.169,0.0480032747
352.549,0.0416324511
352.928,0.0429213884
353.308,0.0538622235
353.687,0.0445902096
354.067,0.0380780951
354.446,0.0527129522
354.826,0.0472737045
355.205,0.0467325325
355.584,0.0448967077
355.964,0.0452001992
356.343,0.0521285913
356.722,0.0425524981
357.101,0.0515023552
357.48,0.0473940579
357.859,0.0388387819
358.238,0.0440930473
358.617,0.0447570534
358.996,0.041313851
359.375,0.0423718693
359.754,0.0380367419
360.133,0.0448703121
360.512,0.0455042846
360.891,0.0341803823
361.269,0.0382790703
361.648,0.0387190559
362.027,0.0406757513
362.405,0.0388055605
362.784,0.040922732
363.162,0.0449198188
363.541,0.0361470794
363.919,0.0468461886
364.298,0.0417453258
364.676,0.0402429933
365.054,0.033889024
365.433,0.0394655516
365.811,0.0350405566
366.189,0.0357321662
366.567,0.0344481895
366.945,0.0360470755
367.323,0.0332975274
367.701,0.0374604565
368.079,0.0308302994
368.457,0.0345973936
368.835,0.02583354
369.213,0.0389397354
369.591,0.030728712
369.969,0.0330853906
370.346,0.0307846735
370.724,0.0311544691
371.102,0.0235651451
371.479,0.0378340552
371.857,0.0290695554
372.235,0.0235462729
372.612,0.0305656575
372.99,0.0376435872
373.367,0.031272656
373.744,0.0316773092
374.122,0.028236076
374.499,0.0274565718
374.876,0.0295309602
375.254,0.0290983267
375.631,0.0361788201
376.008,0.0273994069
376.385,0.0259308602
