wavelength nm,irradiance W/m^2/nm
339.619,0
340,0
340.381,0
340.762,0
341.143,0
341.524,0
341.904,0
342.285,0
342.666,0
343.046,0
343.427,0
343.807,0
344.188,0
344.568,0
344.949,0
345.329,-0.134577234
345.71,-2.327516699
346.09,-1.701729438
346.47,0.790986439
346.85,0.190966272
347.23,0.152522756
347.611,0.059225391
347.991,0.065732174
348.371,0.058816054
348.751,0.075829616
349.131,0.046183947
349.511,0.052668421
349.891,0.051092213
350.27,0.046499074
350.65,0.040686062
351.03,0.040659483
351.41,0.043791664
351.79,0.046797276
352.169,0.043761942
352.549,0.03629383
352.928,0.052212901
353.308,0.051185392
353.687,0.039754397
354.067,0.04197639
354.446,0.050503272
354.826,0.052514619
355.205,0.049133113
355.584,0.048671147
355.964,0.053786592
356.343,0.050689463
356.722,0.038732361
357.101,0.046715517
357.48,0.051983387
357.859,0.04439003
358.238,0.043700867
358.617,0.040436029
358.996,0.0399468
359.375,0.042310914
359.754,0.046313518
360.133,0.043852198
360.512,0.042299704
360.891,0.035057189
361.269,0.038531062
361.648,0.049141077
362.027,0.037244403
362.405,0.034525839
362.784,0.041165285
363.162,0.038346856
363.541,0.026659317
363.919,0.032500579
364.298,0.036495907
364.676,0.031318168
365.054,0.036102106
365.433,0.030216918
365.811,0.029453912
366.189,0.040057894
366.567,0.036845205
366.945,0.025475426
367.323,0.028171519
367.701,0.026036792
368.079,0.026849267
368.457,0.029630023
368.835,0.030920397
369.213,0.036085272
369.591,0.029662342
369.969,0.030505665
370.346,0.029231128
370.724,0.031857466
371.102,0.030739938
371.479,0.031094774
371.857,0.026057656
372.235,0.027440064
372.612,0.028067679
372.99,0.030001537
373.367,0.026608107
373.744,0.030904477
374.122,0.027471083
374.499,0.03268134
374.876,0.025221558
375.254,0.025552871
375.631,0.028102299
376.008,0.023722359
376.385,0.031719878
376.762,0.030750986
377.139,0.028758197
377.516,0.02648158
377.893,0.018678212
378.27,0.016372438
378.647,0.025174116
379.024,0.0212525
