wavelength nm,white irradiance W / m^2 / nm
339.619,0
340,0
340.381,0
340.762,0
341.143,0
341.524,0
341.904,0
342.285,0
342.666,0
343.046,0
343.427,0
343.807,0
344.188,0
344.568,0
344.949,0
345.329,-0.917744164
345.71,-1.051869913
346.09,-1.828040929
346.47,1.1027743436
346.85,0.1153112529
347.23,0.1806753007
347.611,0.0943758998
347.991,0.0590979161
348.371,0.0508514541
348.751,0.0699668059
349.131,0.0629367511
349.511,0.057533472
349.891,0.0482126069
350.27,0.0507870436
350.65,0.0458498286
351.03,0.0414390436
351.41,0.0437916638
351.79,0.0383894733
352.169,0.0376954764
352.549,0.0419387282
352.928,0.058953359
353.308,0.0455991579
353.687,0.0478204852
354.067,0.0502682562
354.446,0.0497897297
354.826,0.050390887
355.205,0.0456096116
355.584,0.0472747173
355.964,0.0461746899
356.343,0.0513764769
356.722,0.0482930204
357.101,0.0419912163
357.48,0.0463350849
357.859,0.0450498475
358.238,0.042382077
358.617,0.0551781932
358.996,0.0321164913
359.375,0.037804096
359.754,0.0488790994
360.133,0.043533394
360.512,0.0435584653
360.891,0.0428517229
361.269,0.0428660718
361.648,0.0414360083
362.027,0.0436845138
362.405,0.0354301599
362.784,0.040267476
363.162,0.0341992179
363.541,0.0416919988
363.919,0.0464995628
364.298,0.0347643193
364.676,0.0341797387
365.054,0.0400683038
365.433,0.0385775121
365.811,0.0380317693
366.189,0.0334927066
366.567,0.0346684913
366.945,0.0378849145
367.323,0.0228269927
367.701,0.0218051336
368.079,0.031305489
368.457,0.0355841918
368.835,0.0196244297
369.213,0.0353205181
369.591,0.0248221076
369.969,0.0282259547
370.346,0.0302354709
370.724,0.0321082492
371.102,0.0307399376
371.479,0.0333258873
371.857,0.0314940097
372.235,0.029163252
372.612,0.0344440464
372.99,0.0366178683
373.367,0.0295251643
373.744,0.0362400454
374.122,0.0320320275
374.499,0.0269325509
374.876,0.027117542
375.254,0.0332571118
375.631,0.0322339564
376.008,0.0332627335
376.385,0.0243189345
